class,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
1,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,976,A65,.. >= 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,12,existing credits paid back duly till now,car (new),7472,A65,unemployed,1,female : divorced/separated/married,none,2,real estate,24,none,rent,1,unemployed/ unskilled  - non-resident,1,none,yes
2,... <    0 DM,36,existing credits paid back duly till now,car (new),9271,A61,4  <= ... < 7 years,2,male   : single,none,1,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,6,existing credits paid back duly till now,radio/television,590,A61,... < 1 year,3,male   : married/widowed,none,3,real estate,26,none,own,1,unskilled - resident,1,none,no
1,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,930,A65,.. >= 7 years,4,male   : single,none,4,real estate,65,none,own,4,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,42,all credits at this bank paid back duly,car (used),9283,A61,unemployed,1,male   : single,none,2,unknown / no property,55,bank,for free,1,management/ self-employed/,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,15,no credits taken/ all credits paid back duly,car (new),1778,A61,... < 1 year,2,female : divorced/separated/married,none,1,real estate,26,none,rent,2,unemployed/ unskilled  - non-resident,1,none,yes
1,0 <= ... <  200 DM,8,existing credits paid back duly till now,business,907,A61,... < 1 year,3,male   : married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,6,existing credits paid back duly till now,radio/television,484,A61,4  <= ... < 7 years,3,male   : married/widowed,guarantor,3,real estate,28,bank,own,1,unskilled - resident,1,none,yes
2,... <    0 DM,36,critical account/  other credits existing (not at this bank),car (used),9629,A61,4  <= ... < 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",24,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,48,existing credits paid back duly till now,domestic appliances,3051,A61,1  <= ... < 4 years,3,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",54,none,own,1,skilled employee / official,1,none,yes
2,... <    0 DM,48,existing credits paid back duly till now,car (new),3931,A61,4  <= ... < 7 years,4,male   : single,none,4,unknown / no property,46,none,for free,1,skilled employee / official,2,none,yes
1,0 <= ... <  200 DM,36,delay in paying off in the past,car (new),7432,A61,1  <= ... < 4 years,2,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,54,none,rent,1,skilled employee / official,1,none,yes
1,no checking account,6,existing credits paid back duly till now,domestic appliances,1338,A63,1  <= ... < 4 years,1,male   : divorced/separated,none,4,real estate,62,none,own,1,skilled employee / official,1,none,yes
1,no checking account,6,critical account/  other credits existing (not at this bank),radio/television,1554,A61,4  <= ... < 7 years,1,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,... <    0 DM,36,existing credits paid back duly till now,others,15857,A61,unemployed,2,male   : divorced/separated,co-applicant,3,"if not A121/A122 : car or other, not in attribute 6",43,none,own,1,management/ self-employed/,1,none,yes
2,... <    0 DM,18,existing credits paid back duly till now,radio/television,1345,A61,1  <= ... < 4 years,4,male   : married/widowed,none,3,real estate,26,bank,own,1,skilled employee / official,1,none,yes
1,no checking account,12,existing credits paid back duly till now,car (new),1101,A61,1  <= ... < 4 years,3,male   : married/widowed,none,2,real estate,27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,3016,A61,1  <= ... < 4 years,3,male   : married/widowed,none,1,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes
2,... <    0 DM,36,existing credits paid back duly till now,furniture/equipment,2712,A61,.. >= 7 years,2,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,41,bank,own,1,skilled employee / official,2,none,yes
1,... <    0 DM,8,critical account/  other credits existing (not at this bank),car (new),731,A61,.. >= 7 years,4,male   : single,none,4,real estate,47,none,own,2,unskilled - resident,1,none,yes
1,no checking account,18,critical account/  other credits existing (not at this bank),furniture/equipment,3780,A61,... < 1 year,3,male   : divorced/separated,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,management/ self-employed/,1,"yes, registered under the customers name",yes
1,... <    0 DM,21,critical account/  other credits existing (not at this bank),car (new),1602,A61,.. >= 7 years,4,male   : married/widowed,none,3,"if not A121/A122 : car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,18,critical account/  other credits existing (not at this bank),car (new),3966,A61,.. >= 7 years,1,female : divorced/separated/married,none,4,real estate,33,bank,rent,3,skilled employee / official,1,"yes, registered under the customers name",yes
2,no checking account,18,no credits taken/ all credits paid back duly,business,4165,A61,1  <= ... < 4 years,2,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",36,stores,own,2,skilled employee / official,2,none,yes
2,... <    0 DM,36,existing credits paid back duly till now,car (used),8335,A65,.. >= 7 years,3,male   : single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,48,delay in paying off in the past,business,6681,A65,1  <= ... < 4 years,4,male   : single,none,4,unknown / no property,38,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes
1,no checking account,24,delay in paying off in the past,business,2375,A63,1  <= ... < 4 years,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",44,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes
2,... <    0 DM,18,existing credits paid back duly till now,car (new),1216,A61,... < 1 year,4,female : divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,45,no credits taken/ all credits paid back duly,business,11816,A61,.. >= 7 years,2,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,rent,2,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,24,existing credits paid back duly till now,radio/television,5084,A65,.. >= 7 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,... >= 200 DM / salary assignments for at least 1 year,15,existing credits paid back duly till now,radio/television,2327,A61,... < 1 year,2,female : divorced/separated/married,none,3,real estate,25,none,own,1,unskilled - resident,1,none,yes
2,... <    0 DM,12,no credits taken/ all credits paid back duly,car (new),1082,A61,1  <= ... < 4 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",48,bank,own,2,skilled employee / official,1,none,yes
1,no checking account,12,existing credits paid back duly till now,radio/television,886,A65,1  <= ... < 4 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",21,none,own,1,skilled employee / official,1,none,yes
1,no checking account,4,existing credits paid back duly till now,furniture/equipment,601,A61,... < 1 year,1,female : divorced/separated/married,none,3,real estate,23,none,rent,1,unskilled - resident,2,none,yes
1,... <    0 DM,24,critical account/  other credits existing (not at this bank),car (used),2957,A61,.. >= 7 years,4,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,63,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,24,critical account/  other credits existing (not at this bank),radio/television,2611,A61,.. >= 7 years,4,male   : married/widowed,co-applicant,3,real estate,46,none,own,2,skilled employee / official,1,none,yes
2,... <    0 DM,36,existing credits paid back duly till now,furniture/equipment,5179,A61,4  <= ... < 7 years,4,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,none,yes
1,no checking account,21,delay in paying off in the past,car (used),2993,A61,1  <= ... < 4 years,3,male   : single,none,2,real estate,28,stores,own,2,unskilled - resident,1,none,yes
2,no checking account,18,existing credits paid back duly till now,repairs,1943,A61,... < 1 year,4,female : divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee / official,1,none,yes
1,no checking account,24,all credits at this bank paid back duly,business,1559,A61,4  <= ... < 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",50,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,18,existing credits paid back duly till now,furniture/equipment,3422,A61,.. >= 7 years,4,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,47,bank,own,3,skilled employee / official,2,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,21,existing credits paid back duly till now,furniture/equipment,3976,A65,4  <= ... < 7 years,2,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,no checking account,18,existing credits paid back duly till now,car (new),6761,A65,1  <= ... < 4 years,2,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",68,none,rent,2,skilled employee / official,1,none,yes
1,no checking account,24,existing credits paid back duly till now,car (new),1249,A61,... < 1 year,4,male   : married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,9,existing credits paid back duly till now,radio/television,1364,A61,4  <= ... < 7 years,3,male   : single,none,4,real estate,59,none,own,1,skilled employee / official,1,none,yes
2,... <    0 DM,12,existing credits paid back duly till now,radio/television,709,A61,.. >= 7 years,4,male   : single,none,4,real estate,57,stores,own,1,unskilled - resident,1,none,yes
2,... <    0 DM,20,critical account/  other credits existing (not at this bank),car (new),2235,A61,1  <= ... < 4 years,4,male   : married/widowed,guarantor,2,if not A121 : building society savings agreement/ life insurance,33,bank,rent,2,skilled employee / official,1,none,no
1,no checking account,24,critical account/  other credits existing (not at this bank),car (used),4042,A65,4  <= ... < 7 years,3,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,43,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,15,critical account/  other credits existing (not at this bank),radio/television,1471,A61,1  <= ... < 4 years,4,male   : single,none,4,unknown / no property,35,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,18,all credits at this bank paid back duly,car (new),1442,A61,4  <= ... < 7 years,4,male   : single,none,4,unknown / no property,32,none,for free,2,unskilled - resident,2,none,yes
1,no checking account,36,delay in paying off in the past,car (new),10875,A61,.. >= 7 years,2,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",45,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes
1,no checking account,24,existing credits paid back duly till now,car (new),1474,A62,... < 1 year,4,male   : married/widowed,none,3,real estate,33,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,10,existing credits paid back duly till now,retraining,894,A65,4  <= ... < 7 years,4,female : divorced/separated/married,none,3,if not A121 : building society savings agreement/ life insurance,40,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,15,critical account/  other credits existing (not at this bank),furniture/equipment,3343,A61,1  <= ... < 4 years,4,male   : single,none,2,unknown / no property,28,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,15,existing credits paid back duly till now,car (new),3959,A61,1  <= ... < 4 years,3,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,29,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,9,existing credits paid back duly till now,car (new),3577,A62,1  <= ... < 4 years,1,male   : single,guarantor,2,real estate,26,none,rent,1,skilled employee / official,2,none,no
1,no checking account,24,critical account/  other credits existing (not at this bank),car (used),5804,A64,1  <= ... < 4 years,4,male   : single,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes
2,no checking account,18,delay in paying off in the past,business,2169,A61,1  <= ... < 4 years,4,male   : married/widowed,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,24,existing credits paid back duly till now,radio/television,2439,A61,... < 1 year,4,female : divorced/separated/married,none,4,real estate,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,27,critical account/  other credits existing (not at this bank),furniture/equipment,4526,A64,... < 1 year,4,male   : single,none,2,real estate,32,stores,own,2,unskilled - resident,2,"yes, registered under the customers name",yes
2,no checking account,10,existing credits paid back duly till now,furniture/equipment,2210,A61,1  <= ... < 4 years,2,male   : single,none,2,real estate,25,bank,rent,1,unskilled - resident,1,none,yes
1,no checking account,15,existing credits paid back duly till now,furniture/equipment,2221,A63,1  <= ... < 4 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes
1,... <    0 DM,18,existing credits paid back duly till now,radio/television,2389,A61,... < 1 year,4,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",27,stores,own,1,skilled employee / official,1,none,yes
1,no checking account,12,critical account/  other credits existing (not at this bank),furniture/equipment,3331,A61,.. >= 7 years,2,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,42,stores,own,1,skilled employee / official,1,none,yes
1,no checking account,36,existing credits paid back duly till now,business,7409,A65,.. >= 7 years,3,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,37,none,own,2,skilled employee / official,1,none,yes
1,... <    0 DM,12,existing credits paid back duly till now,furniture/equipment,652,A61,.. >= 7 years,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes
1,no checking account,36,delay in paying off in the past,furniture/equipment,7678,A63,4  <= ... < 7 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,... >= 200 DM / salary assignments for at least 1 year,6,critical account/  other credits existing (not at this bank),car (new),1343,A61,.. >= 7 years,1,male   : single,none,4,real estate,46,none,own,2,skilled employee / official,2,none,no
1,... <    0 DM,24,critical account/  other credits existing (not at this bank),business,1382,A62,4  <= ... < 7 years,4,male   : single,none,1,real estate,26,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,15,existing credits paid back duly till now,domestic appliances,874,A65,... < 1 year,4,female : divorced/separated/married,none,1,real estate,24,none,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,A61,1  <= ... < 4 years,2,male   : single,co-applicant,2,if not A121 : building society savings agreement/ life insurance,29,none,own,1,unskilled - resident,2,none,yes
1,0 <= ... <  200 DM,11,critical account/  other credits existing (not at this bank),car (new),1322,A64,1  <= ... < 4 years,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,none,yes
1,... <    0 DM,18,all credits at this bank paid back duly,radio/television,1940,A61,... < 1 year,3,male   : single,co-applicant,4,unknown / no property,36,bank,for free,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,36,existing credits paid back duly till now,radio/television,3595,A61,.. >= 7 years,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes
2,... <    0 DM,9,existing credits paid back duly till now,car (new),1422,A61,... < 1 year,3,male   : single,none,2,unknown / no property,27,none,for free,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,30,critical account/  other credits existing (not at this bank),radio/television,6742,A65,4  <= ... < 7 years,2,male   : single,none,3,if not A121 : building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,none,yes
1,no checking account,24,existing credits paid back duly till now,car (used),7814,A61,4  <= ... < 7 years,3,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",38,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,24,existing credits paid back duly till now,car (used),9277,A65,1  <= ... < 4 years,2,male   : divorced/separated,none,4,unknown / no property,48,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,30,critical account/  other credits existing (not at this bank),car (new),2181,A65,.. >= 7 years,4,male   : single,none,4,real estate,36,none,own,2,skilled employee / official,1,none,yes
1,no checking account,18,critical account/  other credits existing (not at this bank),radio/television,1098,A61,unemployed,4,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",65,none,own,2,unemployed/ unskilled  - non-resident,1,none,yes
2,0 <= ... <  200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,A61,4  <= ... < 7 years,3,male   : divorced/separated,none,3,"if not A121/A122 : car or other, not in attribute 6",43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,12,existing credits paid back duly till now,education,795,A61,... < 1 year,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,24,critical account/  other credits existing (not at this bank),business,2825,A65,4  <= ... < 7 years,4,male   : single,none,3,unknown / no property,34,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,48,existing credits paid back duly till now,business,15672,A61,1  <= ... < 4 years,2,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,36,critical account/  other credits existing (not at this bank),car (new),6614,A61,.. >= 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,28,all credits at this bank paid back duly,car (used),7824,A65,... < 1 year,3,male   : single,guarantor,4,real estate,40,bank,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes
1,... <    0 DM,27,critical account/  other credits existing (not at this bank),business,2442,A61,.. >= 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",43,stores,own,4,management/ self-employed/,2,"yes, registered under the customers name",yes
1,no checking account,15,critical account/  other credits existing (not at this bank),radio/television,1829,A61,.. >= 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",46,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,... <    0 DM,12,critical account/  other credits existing (not at this bank),car (new),2171,A61,1  <= ... < 4 years,4,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,38,bank,own,2,unskilled - resident,1,none,no
1,0 <= ... <  200 DM,36,critical account/  other credits existing (not at this bank),car (used),5800,A61,1  <= ... < 4 years,3,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,18,critical account/  other credits existing (not at this bank),radio/television,1169,A65,1  <= ... < 4 years,4,male   : single,none,3,if not A121 : building society savings agreement/ life insurance,29,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,36,delay in paying off in the past,car (used),8947,A65,4  <= ... < 7 years,3,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",31,stores,own,1,management/ self-employed/,2,"yes, registered under the customers name",yes
1,... <    0 DM,21,existing credits paid back duly till now,radio/television,2606,A61,... < 1 year,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,28,none,rent,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,12,critical account/  other credits existing (not at this bank),furniture/equipment,1592,A64,4  <= ... < 7 years,3,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,none,no
1,no checking account,15,existing credits paid back duly till now,furniture/equipment,2186,A65,4  <= ... < 7 years,1,female : divorced/separated/married,none,4,real estate,33,bank,rent,1,unskilled - resident,1,none,yes
2,... <    0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,A61,1  <= ... < 4 years,2,male   : single,co-applicant,3,"if not A121/A122 : car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,none,yes
2,... <    0 DM,16,critical account/  other credits existing (not at this bank),car (new),2625,A61,.. >= 7 years,2,male   : single,guarantor,4,if not A121 : building society savings agreement/ life insurance,43,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,20,critical account/  other credits existing (not at this bank),car (new),3485,A65,... < 1 year,2,male   : divorced/separated,none,4,real estate,44,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,36,critical account/  other credits existing (not at this bank),car (used),10477,A65,.. >= 7 years,2,male   : single,none,4,unknown / no property,42,none,for free,2,skilled employee / official,1,none,yes
1,no checking account,15,existing credits paid back duly till now,radio/television,1386,A65,1  <= ... < 4 years,4,male   : married/widowed,none,2,real estate,40,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,24,existing credits paid back duly till now,radio/television,1278,A61,.. >= 7 years,4,male   : single,none,1,real estate,36,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,... <    0 DM,12,existing credits paid back duly till now,radio/television,1107,A61,1  <= ... < 4 years,2,male   : single,none,2,real estate,20,none,rent,1,management/ self-employed/,2,"yes, registered under the customers name",yes
1,... <    0 DM,21,existing credits paid back duly till now,car (new),3763,A65,4  <= ... < 7 years,2,male   : single,co-applicant,2,real estate,24,none,own,1,unskilled - resident,1,none,no
1,0 <= ... <  200 DM,36,existing credits paid back duly till now,education,3711,A65,1  <= ... < 4 years,2,male   : married/widowed,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,none,yes
1,no checking account,15,delay in paying off in the past,car (used),3594,A61,... < 1 year,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,46,none,own,2,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,9,existing credits paid back duly till now,car (new),3195,A65,1  <= ... < 4 years,1,female : divorced/separated/married,none,2,real estate,33,none,own,1,unskilled - resident,1,none,yes
1,no checking account,36,delay in paying off in the past,radio/television,4454,A61,1  <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,34,none,own,2,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,24,critical account/  other credits existing (not at this bank),furniture/equipment,4736,A61,... < 1 year,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",25,bank,own,1,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,30,existing credits paid back duly till now,radio/television,2991,A65,.. >= 7 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes
1,no checking account,11,existing credits paid back duly till now,business,2142,A64,.. >= 7 years,1,male   : divorced/separated,none,2,real estate,28,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,24,all credits at this bank paid back duly,business,3161,A61,1  <= ... < 4 years,4,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,31,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,48,no credits taken/ all credits paid back duly,others,18424,A61,1  <= ... < 4 years,1,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,32,bank,own,1,management/ self-employed/,1,"yes, registered under the customers name",no
1,no checking account,10,existing credits paid back duly till now,car (used),2848,A62,1  <= ... < 4 years,1,male   : single,co-applicant,2,real estate,32,none,own,1,skilled employee / official,2,none,yes
2,... <    0 DM,6,existing credits paid back duly till now,car (new),14896,A61,.. >= 7 years,1,male   : single,none,4,unknown / no property,68,bank,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
2,... <    0 DM,24,existing credits paid back duly till now,furniture/equipment,2359,A62,unemployed,1,male   : divorced/separated,none,1,if not A121 : building society savings agreement/ life insurance,33,none,own,1,skilled employee / official,1,none,yes
2,... <    0 DM,24,existing credits paid back duly till now,furniture/equipment,3345,A61,.. >= 7 years,4,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,39,none,rent,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,18,critical account/  other credits existing (not at this bank),furniture/equipment,1817,A61,1  <= ... < 4 years,4,female : divorced/separated/married,none,2,unknown / no property,28,none,own,2,skilled employee / official,1,none,yes
1,no checking account,48,delay in paying off in the past,radio/television,12749,A63,4  <= ... < 7 years,4,male   : single,none,1,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
2,... <    0 DM,9,existing credits paid back duly till now,radio/television,1366,A61,... < 1 year,3,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,12,existing credits paid back duly till now,car (new),2002,A61,4  <= ... < 7 years,3,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,30,none,rent,1,skilled employee / official,2,"yes, registered under the customers name",yes
2,... <    0 DM,24,all credits at this bank paid back duly,furniture/equipment,6872,A61,... < 1 year,2,male   : divorced/separated,none,1,if not A121 : building society savings agreement/ life insurance,55,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,12,all credits at this bank paid back duly,car (new),697,A61,... < 1 year,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",46,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,... <    0 DM,18,critical account/  other credits existing (not at this bank),furniture/equipment,1049,A61,... < 1 year,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes
2,... <    0 DM,48,existing credits paid back duly till now,car (used),10297,A61,4  <= ... < 7 years,4,male   : single,none,4,unknown / no property,39,stores,for free,3,skilled employee / official,2,"yes, registered under the customers name",yes
1,no checking account,30,existing credits paid back duly till now,radio/television,1867,A65,.. >= 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",58,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,... <    0 DM,12,delay in paying off in the past,car (new),1344,A61,1  <= ... < 4 years,4,male   : single,none,2,real estate,43,none,own,2,unskilled - resident,2,none,yes
1,... <    0 DM,24,existing credits paid back duly till now,furniture/equipment,1747,A61,... < 1 year,4,male   : single,co-applicant,1,if not A121 : building society savings agreement/ life insurance,24,none,own,1,unskilled - resident,1,none,no
2,0 <= ... <  200 DM,9,existing credits paid back duly till now,radio/television,1670,A61,... < 1 year,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,9,critical account/  other credits existing (not at this bank),car (new),1224,A61,1  <= ... < 4 years,3,male   : single,none,1,real estate,30,none,own,2,skilled employee / official,1,none,yes
1,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,522,A63,.. >= 7 years,4,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,42,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes
1,... <    0 DM,12,existing credits paid back duly till now,radio/television,1498,A61,1  <= ... < 4 years,4,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",23,bank,own,1,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,30,delay in paying off in the past,radio/television,1919,A62,... < 1 year,4,male   : single,none,3,unknown / no property,30,stores,own,2,management/ self-employed/,1,none,yes
2,... >= 200 DM / salary assignments for at least 1 year,9,existing credits paid back duly till now,radio/television,745,A61,1  <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,28,none,own,1,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,6,existing credits paid back duly till now,radio/television,2063,A61,... < 1 year,4,male   : married/widowed,none,3,"if not A121/A122 : car or other, not in attribute 6",30,none,rent,1,management/ self-employed/,1,"yes, registered under the customers name",yes
